adm1_name,adm2_name,adm2_code,yyyymm,event_id,period,season,timeline_severity,severity_label,status,cells_inferred,mean_confidence,dominant_class,model_severity,model_severity_label,severity_gap,comparison,elapsed_seconds,error,gamma_observed_spi3_class_code,gamma_observed_spi3_pixel_count,gamma_observed_spi3_class,gamma_observed_spi3_severity,gamma_spi3_severity_gap,gamma_spi3_comparison
Manicaland,Buhera,33053,202402,17,2023-2024,2023/24,5,5 - Catastrophic,success,230,0.9963418320469234,normal,0,0 - Normal,-5,underestimated,502.11,,0,230,normal,0,0,matched
Manicaland,Buhera,33053,202403,17,2023-2024,2023/24,5,5 - Catastrophic,success,230,0.9941152984681336,normal,0,0 - Normal,-5,underestimated,564.67,,3,230,extreme,4,-4,underestimated
Manicaland,Buhera,33053,202404,17,2023-2024,2023/24,5,5 - Catastrophic,success,230,0.974789352779803,normal,0,0 - Normal,-5,underestimated,858.28,,3,230,extreme,4,-4,underestimated
Matabeleland South,Gwanda,33097,202310,17,2023-2024,2023/24,5,5 - Catastrophic,success,463,0.4494997696794135,normal,0,0 - Normal,-5,underestimated,1818.94,,0,463,normal,0,0,matched
Matabeleland South,Gwanda,33097,202311,17,2023-2024,2023/24,5,5 - Catastrophic,success,463,0.7348217388079954,normal,0,0 - Normal,-5,underestimated,1651.44,,3,463,extreme,4,-4,underestimated
Matabeleland South,Gwanda,33097,202312,17,2023-2024,2023/24,5,5 - Catastrophic,success,463,0.9478777402420538,normal,0,0 - Normal,-5,underestimated,1482.82,,0,463,normal,0,0,matched
Matabeleland South,Gwanda,33097,202401,17,2023-2024,2023/24,5,5 - Catastrophic,success,463,0.991589440897783,normal,0,0 - Normal,-5,underestimated,915.17,,0,463,normal,0,0,matched
Matabeleland South,Gwanda,33097,202402,17,2023-2024,2023/24,5,5 - Catastrophic,success,463,0.9971501704941043,normal,0,0 - Normal,-5,underestimated,893.22,,0,463,normal,0,0,matched
Matabeleland South,Gwanda,33097,202403,17,2023-2024,2023/24,5,5 - Catastrophic,success,463,0.9990467788333769,normal,0,0 - Normal,-5,underestimated,878.92,,1,463,moderate,2,-2,underestimated
Matabeleland South,Gwanda,33097,202404,17,2023-2024,2023/24,5,5 - Catastrophic,success,463,0.9950112213841268,normal,0,0 - Normal,-5,underestimated,878.82,,2,463,severe,3,-3,underestimated
