source_group,path,relative_path,manifest_read_status,top_level_keys,feature_or_contract_keys,horizon_references,mentions_rainfall_or_spi,mentions_temporal_features,error
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi6\v2_20260617\target_contract.json,spi6\v2_20260617\target_contract.json,read_ok,"target_key, label_col, release_version, spi_horizon_months, class_count, class_mapping, prediction_outputs, intended_role",,spi6,True,True,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi6\v2_20260617\thresholds.json,spi6\v2_20260617\thresholds.json,read_ok,"target_key, release_version, thresholds, threshold_status, threshold_usage, warning_policy",,spi6,True,False,
package_repo_artifacts,C:\Projects\rozvi\models\rozvidrought\src\rozvidrought\artifacts\spi3\20260301\checksums.json,spi3\20260301\checksums.json,read_failed,,,,,,JSONDecodeError('Unexpected UTF-8 BOM (decode using utf-8-sig): line 1 column 1 (char 0)')
package_repo_artifacts,C:\Projects\rozvi\models\rozvidrought\src\rozvidrought\artifacts\spi3\20260301\fusion_hybrid_ablation_manifest_spi3_20260301T214103Z.json,spi3\20260301\fusion_hybrid_ablation_manifest_spi3_20260301T214103Z.json,read_ok,"run_id, created_utc, ablation_init_manifest, parent_hybrid_init_manifest, parent_hybrid_run_id, fusion_dataset_path, label, time_key, subsystems, num_classes, masking, ablation_matrix, training, anchors, outputs, notes",,spi3,True,False,
package_repo_artifacts,C:\Projects\rozvi\models\rozvidrought\src\rozvidrought\artifacts\spi3\20260301\hybrid_explain_manifest_spi3_20260301T211206Z.json,spi3\20260301\hybrid_explain_manifest_spi3_20260301T211206Z.json,read_ok,"run_id, created_utc, hybrid_init_manifest, outputs, sampling, evidence_vector_definition",,spi3,True,False,
package_repo_artifacts,C:\Projects\rozvi\models\rozvidrought\src\rozvidrought\artifacts\spi3\20260301\logit_stack_anchor_snapshot_spi3_20260301T200905Z.json,spi3\20260301\logit_stack_anchor_snapshot_spi3_20260301T200905Z.json,read_ok,"anchor_name, run_id, created_utc, source_manifest, dataset, splits, headline_metrics, failure_years, artifacts, notes",,spi3,True,True,
package_repo_artifacts,C:\Projects\rozvi\models\rozvidrought\src\rozvidrought\artifacts\spi3\20260304\checksums.json,spi3\20260304\checksums.json,read_failed,,,,,,JSONDecodeError('Unexpected UTF-8 BOM (decode using utf-8-sig): line 1 column 1 (char 0)')
package_repo_artifacts,C:\Projects\rozvi\models\rozvidrought\src\rozvidrought\artifacts\spi3\20260304\fusion_hybrid_ablation_manifest_spi3_20260304T175830Z.json,spi3\20260304\fusion_hybrid_ablation_manifest_spi3_20260304T175830Z.json,read_ok,"run_id, created_utc, cell, ablation_init_manifest, parent_hybrid_init_manifest, parent_hybrid_run_id, fusion_dataset_path, label, time_key, subsystems, num_classes, masking, ablation_matrix, training, anchors, outputs, robustness, notes",,spi3,True,False,
package_repo_artifacts,C:\Projects\rozvi\models\rozvidrought\src\rozvidrought\artifacts\spi3\20260304\hybrid_explain_manifest_spi3_20260301T211206Z.json,spi3\20260304\hybrid_explain_manifest_spi3_20260301T211206Z.json,read_ok,"run_id, created_utc, hybrid_init_manifest, outputs, sampling, evidence_vector_definition",,spi3,True,False,
package_repo_artifacts,C:\Projects\rozvi\models\rozvidrought\src\rozvidrought\artifacts\spi3\20260304\logit_stack_anchor_snapshot_spi3_20260301T200905Z.json,spi3\20260304\logit_stack_anchor_snapshot_spi3_20260301T200905Z.json,read_ok,"anchor_name, run_id, created_utc, source_manifest, dataset, splits, headline_metrics, failure_years, artifacts, notes",,spi3,True,True,
