column,count,mean,std,min,max,q01,q05,q50,q95,q99
pixel_id,38957625.0,13387.0,7729.276822586435,0.0,26774.0,267.0,1338.0,13387.0,25436.0,26507.0
row,38957625.0,76.0,44.16635276698956,0.0,152.0,1.0,7.0,76.0,145.0,151.0
col,38957625.0,87.0,50.51732440962283,0.0,174.0,1.0,8.0,87.0,166.0,173.0
lon,38957625.0,29.127873087575484,2.2690242314994187,25.220201601655564,33.0355445734954,25.265117365861542,25.579527715303374,29.127873087575484,32.67621845984759,32.990628809289426
lat,38957625.0,-19.021826141230868,1.9837654867200623,-22.43542422088505,-15.608228061576686,-22.390508456679072,-22.121013871443218,-19.021826141230868,-15.922638411018518,-15.653143825782662
t2m,38957625.0,294.7408447265625,2.27793288230896,278.8966064453125,305.3448486328125,287.4540710449219,290.1966552734375,294.8410949707031,298.8363037109375,300.9996337890625
d2m,38957625.0,285.4693298339844,4.716307640075684,264.73931884765625,297.070556640625,275.8193054199219,278.2429504394531,285.6088562011719,292.5643310546875,293.47894287109375
pet,38957625.0,-9.285353007726371e-05,0.0014957275707274675,-0.07454141974449158,0.0007473874720744789,-0.0077569886669516565,-0.0005356484791263937,0.00030235270969569683,0.0004761727759614587,0.0005453363270498811
sm,38957625.0,0.21399232745170593,0.06277791410684586,0.010048209689557552,0.4856144189834595,0.05295269653201103,0.1090369164943695,0.22143647074699402,0.3321525454521179,0.4282517743110654
ndvi,38395306.0,0.490297237128769,0.1474569329886563,-0.14400355517864227,0.8992428183555603,0.21321139186620713,0.29194968938827515,0.4852372854948044,0.6872977018356323,0.7387627869844442
tws,38341800.0,-27.54686849718269,321.723463994907,-5927.09375,43.54359436035156,-19.73421287536621,-8.045736312866211,-1.7510070204734802,13.332391738891602,16.314912796020508
