scenario,rows,pixel_count,first_month,last_month,month_count,lon_min,lon_max,lat_min,lat_max
historical,14860125,26775,198001,202603,555,25.220201601655564,33.0355445734954,-22.43542422088505,-15.608228061576686
ssp245,8032500,26775,202601,205012,300,25.220201601655564,33.0355445734954,-22.43542422088505,-15.608228061576686
ssp370,8032500,26775,202601,205012,300,25.220201601655564,33.0355445734954,-22.43542422088505,-15.608228061576686
ssp585,8032500,26775,202601,205012,300,25.220201601655564,33.0355445734954,-22.43542422088505,-15.608228061576686
