row,col,yyyymm,spi3_p0_direct,spi3_p1_direct,spi3_p2_direct,spi3_p3_direct,spi3_p4_direct,spi6_p0_direct,spi6_p1_direct,spi6_p2_direct,spi6_p3_direct,spi6_p4_direct,spi12_p0_direct,spi12_p1_direct,spi12_p2_direct,spi12_p3_direct,spi12_p4_direct,spi3_p0_stored,spi3_p1_stored,spi3_p2_stored,spi3_p3_stored,spi3_p4_stored,spi6_p0_stored,spi6_p1_stored,spi6_p2_stored,spi6_p3_stored,spi6_p4_stored,spi12_p0_stored,spi12_p1_stored,spi12_p2_stored,spi12_p3_stored,spi12_p4_stored,_seed_key,spi3_p0_abs_delta,spi3_p1_abs_delta,spi3_p2_abs_delta,spi3_p3_abs_delta,spi3_p4_abs_delta,spi6_p0_abs_delta,spi6_p1_abs_delta,spi6_p2_abs_delta,spi6_p3_abs_delta,spi6_p4_abs_delta,spi12_p0_abs_delta,spi12_p1_abs_delta,spi12_p2_abs_delta,spi12_p3_abs_delta,spi12_p4_abs_delta
58,29,201905,0.14836159348487854,0.2968519330024719,0.5312063097953796,0.023244360461831093,0.0003357909736223519,0.529958963394165,0.4049813151359558,0.02907460369169712,0.0353676974773407,0.0006174003356136382,0.00808440987020731,0.08761363476514816,0.8064896464347839,0.054874222725629807,0.04293809458613396,0.1483616,0.29685193,0.5312063,0.02324436,0.00033579097,0.52995896,0.40498132,0.029074604,0.035367697,0.00061740034,0.00808441,0.087613635,0.80648965,0.054874223,0.042938095,58|29|201905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,18,201512,0.004043105058372021,0.020483998581767082,0.8176746964454651,0.1240047886967659,0.0337933786213398,0.0037144285161048174,0.04709424823522568,0.7272172570228577,0.17106454074382782,0.05090949311852455,0.0011833076132461429,0.08504804968833923,0.8593010902404785,0.05444309487938881,2.4437324100290425e-05,0.004043105,0.020483999,0.8176747,0.124004796,0.03379338,0.0037144287,0.04709425,0.72721726,0.17106454,0.050909493,0.0011833076,0.08504805,0.8593011,0.054443095,2.4437324e-05,43|18|201512,0.0,0.0,0.0,7.450580596923828e-09,0.0,2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,24,202404,0.03721161186695099,0.4795266389846802,0.47492679953575134,0.008174657821655273,0.0001603354758117348,0.4748351275920868,0.49766963720321655,0.02134282886981964,0.0059935166500508785,0.00015885320317465812,0.00031368416966870427,0.015366260893642902,0.9217203259468079,0.06108945980668068,0.0015102578327059746,0.037211612,0.4795266,0.47492677,0.008174658,0.00016033548,0.47483516,0.49766967,0.021342829,0.0059935167,0.0001588532,0.00031368417,0.015366261,0.9217203,0.06108946,0.0015102578,71|24|202404,0.0,2.9802322387695312e-08,2.9802322387695312e-08,0.0,0.0,2.9802322387695312e-08,2.9802322387695312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,11,201806,0.9559990763664246,0.0329410620033741,0.009613162837922573,0.0013870155671611428,5.962956856819801e-05,0.9569775462150574,0.0410011000931263,0.0017514462815597653,0.0002426681312499568,2.7253106964053586e-05,0.9965673685073853,0.0029277377761900425,0.0004697132098954171,2.943569779745303e-05,5.750034233642509e-06,0.95599914,0.032941062,0.009613164,0.0013870157,5.9629572e-05,0.95697755,0.0410011,0.0017514463,0.00024266813,2.7253107e-05,0.99656737,0.0029277378,0.0004697132,2.9435698e-05,5.7500342e-06,15|11|201806,5.960464477539063e-08,0.0,9.313225746154785e-10,1.1641532182693481e-10,3.637978807091713e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,47,202010,0.9994445443153381,0.0004840082547161728,3.5322093026479706e-05,3.3925025491043925e-05,2.160270241802209e-06,0.998875081539154,0.0009624440572224557,0.00011992788495263085,4.151677785557695e-05,9.706434411782539e-07,0.7354901432991028,0.2424560934305191,0.021766357123851776,0.00027510253130458295,1.2327534022915643e-05,0.9994446,0.00048400828,3.5322093e-05,3.3925025e-05,2.1602702e-06,0.99887514,0.0009624441,0.00011992789,4.151678e-05,9.706436e-07,0.73549014,0.2424561,0.021766357,0.00027510253,1.2327534e-05,101|47|202010,5.960464477539063e-08,2.9103830456733704e-11,0.0,0.0,0.0,5.960464477539063e-08,5.820766091346741e-11,7.275957614183426e-12,3.637978807091713e-12,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0
38,136,201805,0.9319888353347778,0.06635070592164993,0.0015809719916433096,7.294607348740101e-05,6.531536200782284e-06,0.9312597513198853,0.06800218671560287,0.0005630114465020597,0.00016003628843463957,1.499127483839402e-05,0.9939786195755005,0.0056405565701425076,0.0001546430285088718,0.0001852370915003121,4.0967297536553815e-05,0.93198884,0.066350706,0.001580972,7.294607e-05,6.531536e-06,0.93125975,0.06800219,0.00056301145,0.00016003629,1.4991275e-05,0.9939786,0.0056405566,0.00015464303,0.00018523709,4.0967298e-05,38|136|201805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,104,201903,0.8652898669242859,0.08343251794576645,0.025062739849090576,0.02610200084745884,0.00011283568892395124,0.39379215240478516,0.2902054190635681,0.12342647463083267,0.18450891971588135,0.00806698203086853,0.004571962635964155,0.1442165970802307,0.3128313422203064,0.5380306243896484,0.0003494892152957618,0.8652899,0.08343252,0.025062742,0.026102003,0.000112835696,0.39379218,0.29020545,0.12342648,0.18450893,0.008066982,0.0045719626,0.1442166,0.31283134,0.5380306,0.00034948922,105|104|201903,5.960464477539063e-08,0.0,1.862645149230957e-09,1.862645149230957e-09,7.275957614183426e-12,2.9802322387695312e-08,2.9802322387695312e-08,7.450580596923828e-09,1.4901161193847656e-08,0.0,0.0,0.0,0.0,0.0,0.0
19,68,201601,0.025190239772200584,0.5626077651977539,0.38789695501327515,0.022886818274855614,0.0014181870501488447,0.05287667363882065,0.3593304753303528,0.49991708993911743,0.08428831398487091,0.003587497631087899,0.004053878132253885,0.3903384506702423,0.6014979481697083,0.003976754378527403,0.00013299203419592232,0.02519024,0.56260777,0.38789696,0.022886818,0.001418187,0.05287667,0.35933045,0.49991706,0.08428831,0.0035874974,0.004053878,0.39033845,0.60149795,0.0039767544,0.00013299203,19|68|201601,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,2.9802322387695312e-08,2.9802322387695312e-08,7.450580596923828e-09,2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0
66,143,201511,0.0029317508451640606,0.01207402627915144,0.10257285833358765,0.6818859577178955,0.20053541660308838,0.004305053502321243,0.020657360553741455,0.08494459837675095,0.7414583563804626,0.1486346274614334,0.06625837087631226,0.9116445779800415,0.020186148583889008,0.0018770858878269792,3.383691000635736e-05,0.0029317508,0.012074026,0.10257286,0.68188596,0.20053542,0.0043050535,0.02065736,0.0849446,0.74145836,0.14863463,0.06625837,0.9116446,0.020186149,0.0018770859,3.383691e-05,66|143|201511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,74,202407,0.25566184520721436,0.6437669396400452,0.09670595824718475,0.0033894479274749756,0.0004757725400850177,0.010895907878875732,0.05424335598945618,0.8316559195518494,0.1025644987821579,0.0006402854342013597,0.024122823029756546,0.6853927969932556,0.2876421809196472,0.0026843592058867216,0.00015788157179486006,0.25566185,0.64376694,0.09670596,0.0033894482,0.00047577257,0.010895908,0.054243356,0.8316559,0.1025645,0.00064028543,0.024122821,0.6853928,0.28764218,0.0026843592,0.00015788157,47|74|202407,0.0,0.0,0.0,2.3283064365386963e-10,2.9103830456733704e-11,0.0,0.0,0.0,0.0,0.0,1.862645149230957e-09,0.0,0.0,0.0,0.0
