seed_case,seed_rank,source_record_id,row,col,yyyymm,spi3_expected_severity,spi6_expected_severity,spi12_expected_severity,weighted_fusion_expected_severity,dominant_target_horizon,directional_result
observed_normal_all_horizons,1,179273,15,11,201806,0.056566952654975466,0.04534100947785191,0.003978471426307806,0.03160248005151516,spi3,normal_signal_low
observed_seasonal_drought,1,230736,19,68,201601,1.4127348782494664,1.626379587687552,1.6057965782820247,1.5647352065658195,spi6,expected_horizon_dominant
observed_short_term_drought,3,308778,25,165,202307,1.528388848528266,0.0682234130508732,0.0028204070206356846,0.40710356950812643,spi3,expected_horizon_dominant
observed_normal_all_horizons,3,461472,38,136,201805,0.06975761427020188,0.06966828357326449,0.006669423091807403,0.04449107205491601,spi3,normal_signal_low
observed_multi_horizon_drought,2,512935,43,18,201512,2.163021272048354,2.2183603569865227,1.9670772641038639,2.104012348598917,spi6,multi_horizon_drought_signal
observed_seasonal_drought,3,564398,47,74,202407,0.8492502900771797,2.027809833176434,1.2693617627373897,1.4297907192260024,spi6,expected_horizon_dominant
observed_multi_horizon_drought,1,692208,58,29,201905,1.4303407978732139,0.5717032162938267,2.0369679741561413,1.3724685148335993,spi12,multi_horizon_signal_mixed
observed_seasonal_drought,2,795134,66,143,201511,3.0650192825123668,3.009460136294365,0.9577834804513259,2.20267926051165,spi3,different_horizon_dominant
observed_multi_horizon_drought,3,846597,71,24,202404,1.4545455534243956,0.5589712577057071,2.0481163235381246,1.3785228579683462,spi12,multi_horizon_signal_mixed
observed_normal_all_horizons,2,1205143,101,47,202010,0.0006650685982094728,0.0013307327344591613,0.28686342540822807,0.11537739376990429,spi12,normal_signal_low
observed_persistent_drought,2,1256606,105,104,201903,0.21231534294201992,1.1228530555963516,2.385369111550972,1.400225049814617,spi12,expected_horizon_dominant
observed_short_term_drought,1,1308069,109,161,201610,1.9943002946674824,1.642989338375628,1.0518865263438784,1.4943759526358917,spi3,expected_horizon_dominant
observed_short_term_drought,2,1796120,150,163,201905,1.5494662646669894,0.8570612968469504,0.9551875747274607,1.0694130499541643,spi3,expected_horizon_dominant
